,ID,pca_species,COII_GenBank_Accession_Number,sex,pop,year,longitude,latitude,,note:,Cassibile=SP04+MP+SP104+Cassibile+FontaneBianche,,,,,,,,,,
E76,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E77,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E78,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E81,E81,rossius,OR724356,NA,Cefalu,2020,14.030295,38.036455,,,,,,,,,,,,,
E82,E82,rossius,OR724357,NA,Cefalu,2020,14.030295,38.036455,,,,,,,,,,,,,
E83,,,,NA,Cefalu,2020,14.030295,38.036455,,,,,,,,,,,,,
E84,E84,NW hybridogen,OR724359,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E85,E85,NW F1 hybrids,OR724360,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E86,E86,benazzii,OR724361,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E87,E87,benazzii,OR724362,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E88,E88,rossius,OR724363,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E89,E89,NW F1 hybrids,OR724364,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E90,E90,benazzii,OR724365,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E91,E91,benazzii,OR724366,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E92,,NW F1 hybrids,,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E93,E93,NW hybridogen,OR724368,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E94,E94,benazzii,OR724369,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E95,E95,rossius,OR724370,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E96,E96,NW F1 hybrids,OR724371,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E97,E97,rossius,-,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E98,,,,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
E99,E99,rossius,OR724373,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F01,F01,benazzii,OR724374,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F02,F02,rossius,OR724375,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F03,F03,rossius,OR724376,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F04,F04,rossius,OR724377,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F05,F05,NW hybridogen,OR724378,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F06,F06,NW F1 hybrids,OR724379,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F07,,NW F1 hybrids,,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F08,F08,NW F1 hybrids,-,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F09,F09,benazzii,-,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F10,F10,NW F1 hybrids,OR724380,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F11,F11,rossius,OR724381,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F12,F12,NW F1 hybrids,OR724382,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F13,F13,rossius,OR724383,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F14,F14,NW hybridogen,OR724384,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F15,F15,rossius,OR724385,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F16,F16,rossius,-,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F17,F17,rossius,-,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F18,F18,benazzii,OR724386,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F19,,,,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F20,,,,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F21,F21,NW hybridogen,-,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F22,,,,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F23,F23,rossius,OR724390,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F24,F24,NW hybridogen,OR724391,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F25,F25,rossius,OR724392,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F26,,,,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
